CCTV,#genre#
山东体育HD,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000057/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000054/index.m3u8#http://ksdlive.gwpd.iqilu.com/zypd.m3u8
山东影视,http://150.138.8.143/00/SNM/CHANNEL00000056/index.m3u8#http://ksdlive.gwpd.iqilu.com/yspd.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000055/index.m3u8#http://ksdlive.gwpd.iqilu.com/shpd.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000058/index.m3u8#http://ksdlive.gwpd.iqilu.com/nkpd.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000059/index.m3u8#http://ksdlive.gwpd.iqilu.com/sepd.m3u8
山东国际,http://150.138.8.143/00/SNM/CHANNEL00000060/index.m3u8#http://ksdlive.gwpd.iqilu.com/gjpd.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000030/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000028/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000023/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000038/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000039/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000037/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000036/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000035/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000033/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000046/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000042/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
金鹰卡通,http://150.138.8.143/00/SNM/CHANNEL00000047/index.m3u8
卡酷动画,http://150.138.8.143/00/SNM/CHANNEL00000048/index.m3u8
炫动卡通,http://150.138.8.143/00/SNM/CHANNEL00000050/index.m3u8
优漫卡通,http://150.138.8.143/00/SNM/CHANNEL00000049/index.m3u8

付费频道,#genre#
CHC高清电影,sop://127.0.0.1:3912/764
CHC动作电影,sop://127.0.0.1:3912/765
CHC家庭影院,sop://127.0.0.1:3912/766
广东综艺4K,sop://127.0.0.1:3912/10071#http://nclive.grtn.cn/4K/sd/live.m3u8
海看大片HD,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8
四川峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/3.m3u8,tvmao-645
CNTV家庭影院,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240278_1/encoder/0/playlist.m3u8
CNTV动作影院,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240277_1/encoder/0/playlist.m3u8
CNTV精选电影,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240275_1/encoder/0/playlist.m3u8
CNTV喜剧影院,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240276_1/encoder/0/playlist.m3u8
CNTV星影,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240279_1/encoder/0/playlist.m3u8
IPTV经典电影,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240090_1/encoder/0/playlist.m3u8
IPTV-6+,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240007_1/encoder/0/playlist.m3u8
CNTV美妆,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240310_1/encoder/0/playlist.m3u8
CNTV军事,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240311_1/encoder/0/playlist.m3u8
CNTV武术,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240312_1/encoder/0/playlist.m3u8
