CCTV,#genre#
凤凰香港HD,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰电影,rtmp://58.200.131.2:1935/livetv/y
TVB新闻,http://tv.sason.xyz/proxy/tvb.php?id=xw
TVB财经资讯,http://tv.sason.xyz/proxy/tvb.php?id=cj
有线新闻★,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
有线财经资讯★,https://ottproxy2.mott.tv/livehls/MOB-NGW/02.m3u8
有线综合娱乐★,https://ottproxy2.mott.tv/livehls/MOB-CN/02.m3u8
RTHK31★,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
RTHK32★,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
香港卫视HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳门有线I,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线II,http://202.175.127.77/live/show/ch2/index.m3u8
澳门有线III,http://202.175.127.77/live/show/ch3/index.m3u8
澳视澳门,https://live4.tdm.com.mo/ch1/_definst_/ch1.live/playlist.m3u8
澳视葡语,https://live4.tdm.com.mo/ch2/_definst_/ch2.live/playlist.m3u8
澳视电影,https://live4.tdm.com.mo/ch3/_definst_/ch3.live/playlist.m3u8
澳视体育,https://live4.tdm.com.mo/ch4/_definst_/sport_ch4.live/playlist.m3u8
澳视资讯,https://live4.tdm.com.mo/ch5/_definst_/info_ch5.live/playlist.m3u8
澳视综艺,https://live4.tdm.com.mo/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳视立法院,https://live4.tdm.com.mo/tv/_definst_/ch21.live/playlist.m3u8
莲花卫视★,http://220.158.149.28:8180/TV00000000000000000069@HHZT;LIVE
NHK华语视界,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/zh/725580/livecom_zh.m3u8
新加坡8频道,http://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8

台湾,#genre#
TVBS新闻★,http://seb.sason.top/sc/tvbsxw_.m3u8
东森财经新闻★,http://seb.sason.top/sc/dscjxw_.m3u8
东森新闻★,http://seb.sason.top/sc/dsxw_.m3u8
华视新闻★,http://seb.sason.top/sc/hsxw_.m3u8
民视新闻★,http://seb.sason.top/sc/msxw_.m3u8
三立iNews★,http://seb.sason.top/sc/slinews_.m3u8
三立Live★,http://seb.sason.top/sc/sllive_.m3u8
台视新闻★,http://seb.sason.top/sc/tsxw_.m3u8
中视新闻★,http://seb.sason.top/sc/zsxw_.m3u8
中天新闻★,http://seb.sason.top/sc/ztxw_.m3u8
壹新闻★,http://stream.nexttv.com.tw/n001/hd/live.m3u8
民视★,http://seb.sason.top/ptv/ftv.php?id=ms
民视第一★,http://seb.sason.top/ptv/ftv.php?id=dy
民视台湾★,http://seb.sason.top/ptv/ftv.php?id=tw
民视影剧★,http://seb.sason.top/ptv/ftv.php?id=yj
