1.山东电信,#genre#
博山新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001013/index.m3u8
安丘新闻,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001015/index.m3u8
嘉祥新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001016/index.m3u8
长清新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001018/index.m3u8
周村-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001019/index.m3u8
桓台TV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001020/index.m3u8
临淄TV-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001021/index.m3u8
济阳综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001030/index.m3u8
东平新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001001/index.m3u8
沂源新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001002/index.m3u8
诸城新闻,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001004/index.m3u8
牟平新闻,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001006/index.m3u8
淄川新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001007/index.m3u8
商河综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001008/index.m3u8
惠民综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001009/index.m3u8
任城-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001010/index.m3u8
莒南综合,http://39.137.76.32:8089/00/SNM/CHANNEL00001011/index.m3u8
张店,http://39.137.76.32:8089/00/SNM/CHANNEL00001012/index.m3u8
博山新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001013/index.m3u8
莒县,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001014/index.m3u8
安丘新闻,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001015/index.m3u8
嘉祥新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001016/index.m3u8
文登,http://223.99.189.25:8089/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00001017/index.m3u8
长清新闻,http://39.137.76.32:8089/00/SNM/CHANNEL00001018/index.m3u8
周村-1,http://39.137.76.32:8089/00/SNM/CHANNEL00001019/index.m3u8
