CCTV,#genre#
喜剧影院,http://39.137.76.32:8089/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://39.137.76.32:8089/00/SNM/CHANNEL00000603/index.m3u8
精选电影,http://39.137.76.32:8089/00/SNM/CHANNEL00000621/index.m3u8
IPTV经典电影,http://39.137.76.32:8089/00/SNM/CHANNEL00000604/index.m3u8
IPTV少儿动画,http://39.137.76.32:8089/00/SNM/CHANNEL00000605/index.m3u8
IPTV相声小品,http://39.137.76.32:8089/00/SNM/CHANNEL00000606/index.m3u8
财富天下,http://39.137.76.32:8089/00/SNM/CHANNEL00000607/index.m3u8
IPTV热播剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000608/index.m3u8
IPTV美丽时尚,http://39.137.76.32:8089/00/SNM/CHANNEL00000609/index.m3u8
墨宝,http://39.137.76.32:8089/00/SNM/CHANNEL00000610/index.m3u8
光影,http://39.137.76.32:8089/00/SNM/CHANNEL00000611/index.m3u8
美人,http://39.137.76.32:8089/00/SNM/CHANNEL00000612/index.m3u8
音乐现场,http://39.137.76.32:8089/00/SNM/CHANNEL00000613/index.m3u8
城市剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000614/index.m3u8
地理,http://39.137.76.32:8089/00/SNM/CHANNEL00000615/index.m3u8
美妆,http://39.137.76.32:8089/00/SNM/CHANNEL00000616/index.m3u8
军旅剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000617/index.m3u8
足球,http://39.137.76.32:8089/00/SNM/CHANNEL00000618/index.m3u8
高尔夫网球,http://39.137.76.32:8089/00/SNM/CHANNEL00000620/index.m3u8
怀旧剧场,http://39.137.76.32:8089/00/SNM/CHANNEL00000622/index.m3u8
解密,http://39.137.76.32:8089/00/SNM/CHANNEL00000624/index.m3u8
动画,http://39.137.76.32:8089/00/SNM/CHANNEL00000625/index.m3u8
早期教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000627/index.m3u8
台球,http://39.137.76.32:8089/00/SNM/CHANNEL00000628/index.m3u8
好学生,http://39.137.76.32:8089/00/SNM/CHANNEL00000629/index.m3u8
武术,http://39.137.76.32:8089/00/SNM/CHANNEL00000634/index.m3u8
国学,http://39.137.76.32:8089/00/SNM/CHANNEL00000636/index.m3u8
IPTV法制,http://39.137.76.32:8089/00/SNM/CHANNEL00000638/index.m3u8
爱生活,http://39.137.76.32:8089/00/SNM/CHANNEL00000639/index.m3u8
游戏,http://39.137.76.32:8089/00/SNM/CHANNEL00000408/index.m3u8
华数,http://39.137.76.32:8089/00/SNM/CHANNEL00000202/index.m3u8
看海教育,http://39.137.76.32:8089/00/SNM/CHANNEL00000204/index.m3u8
海看演艺,http://39.137.76.32:8089/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://39.137.76.32:8089/00/SNM/CHANNEL00000401/index.m3u8
海看少儿,http://39.137.76.32:8089/00/SNM/CHANNEL00000402/index.m3u8
海看热播,http://39.137.76.32:8089/00/SNM/CHANNEL00000405/index.m3u8

