NEW,#genre#

CCTV-1,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-cctv1/HD-8000k-1080P-cctv1
CCTV-6,http://183.207.248.71:80/cntv/live1/cctv-6/cctv-6

台湾FQ,#genre#
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
三立Live,http://seb.sason.top/sc/sllive_fhd.m3u8
TVBS新闻,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
东森财经新闻,http://seb.sason.top/sc/dscjxw_fhd.m3u8
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8
华视新闻,http://seb.sason.top/sc/hsxw_fhd.m3u8
民视新闻,http://seb.sason.top/sc/msxw_fhd.m3u8
台视新闻,http://seb.sason.top/sc/tsxw_fhd.m3u8
中视新闻,http://seb.sason.top/sc/zsxw_fhd.m3u8



CCTV,#genre#
CCTV-1  综合,http://101.71.255.229:6610/zjhs/2/10078/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-2  经济,http://101.71.255.229:6610/zjhs/2/10063/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-3  综艺,http://101.71.255.229:6610/zjhs/2/10068/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
IPTV-3  相声小品,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225926/10000100000000060000000000218847_0.smil
IPTV-3+,rtsp://27.195.129.60:554/PLTV/88888888/224/3221226067/10000100000000060000000000323315_0.smil
IPTV-3  魅力时尚,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225927/10000100000000060000000000218867_0.smil
CCTV-4  亚洲国际,http://101.71.255.229:6610/zjhs/2/10074/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-4  美洲,http://cctvksh5ca.v.kcdnvip.com/live/cctvamerica_2/index.m3u8
CCTV-4  欧洲,http://cctvksh5ca.v.kcdnvip.com/live/cctveurope_2/index.m3u8
CCTV-5  体育,http://101.71.255.229:6610/zjhs/2/10075/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
IPTV-5+,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225923/10000100000000060000000000218863_0.smil
CCTV-6  电影,http://101.71.255.229:6610/zjhs/2/10065/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
IPTV-6+,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225921/10000100000000060000000000218870_0.smil
IPTV-6  经典电影,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225919/10000100000000060000000000218875_0.smil
CCTV-7  军事,http://ivi.bupt.edu.cn/hls/cctv7.m3u8
CCTV-8  电视剧,http://101.71.255.229:6610/zjhs/2/10061/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
IPTV-8  谍战剧场,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225925/10000100000000060000000000218854_0.smil
IPTV-8+,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225924/10000100000000060000000000218860_0.smil
CCTV-9  纪录,http://ivi.bupt.edu.cn/hls/cctv9.m3u8
CCTV-10 科教,http://ivi.bupt.edu.cn/hls/cctv10.m3u8
CCTV-11 戏曲,http://101.71.255.229:6610/zjhs/2/10073/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
IPTV-12 法治,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225931/10000100000000060000000000218839_0.smil
CCTV-13 新闻,http://101.71.255.229:6610/zjhs/2/10077/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-14 少儿,http://ivi.bupt.edu.cn/hls/cctv14.m3u8
CCTV-15 音乐,http://101.71.255.229:6610/zjhs/2/10080/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV-17 农业农村,http://ivi.bupt.edu.cn/hls/cctv17.m3u8
