CCTV,#genre#
青岛-5,http://150.138.8.143/00/SNM/CHANNEL00000504/index.m3u8
青岛-6,http://150.138.8.143/00/SNM/CHANNEL00000505/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000054/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL00000052/index.m3u8
山东公共,http://150.138.8.143/00/SNM/CHANNEL00000053/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000057/index.m3u8
山东影视,http://150.138.8.143/00/SNM/CHANNEL00000056/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000055/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000058/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000059/index.m3u8
山东国际,http://150.138.8.143/00/SNM/CHANNEL00000060/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
海看大片,http://150.138.8.143/00/SNM/CHANNEL00000407/index.m3u8
山东 综艺 2,http://10.255.139.4:8060/live/10020_1200.m3u8
山东 齐鲁 3,http://10.255.139.4:8060/live/10021_1200.m3u8
CCTV-4 国际,http://10.255.139.4:8060/live/10004_1200.m3u8
日照综合1,http://150.138.8.143/00/SNM/CHANNEL00000262/index.m3u8#http://stream.rzw.com.cn/xwzh/sd/live.m3u8
日照科教2,http://150.138.8.143/00/SNM/CHANNEL00000263/index.m3u8#http://stream.rzw.com.cn/ggpd/sd/live.m3u8
日照公共3,http://stream.rzw.com.cn/kzpd/sd/live.m3u8
日照导视4,http://stream.rzw.com.cn/fcpd/sd/live.m3u8
莒县-1,http://61.162.225.122:8181/live/test1.m3u8
莒县-2,http://61.162.225.122:8181/live/test2.m3u8

济南-1,http://150.138.8.143/00/SNM/CHANNEL00000061/index.m3u8#http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://150.138.8.143/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
烟台新闻,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://150.138.8.143/00/SNM/CHANNEL00000281/index.m3u8
潍坊新闻,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
德州新闻,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州公共,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
滨州新闻,http://150.138.8.143/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://150.138.8.143/00/SNM/CHANNEL00000221/index.m3u8
东营新闻,http://150.138.8.143/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://150.138.8.143/00/SNM/CHANNEL00000227/index.m3u8
菏泽1,http://150.138.8.143/00/SNM/CHANNEL00000232/index.m3u8
菏泽3,http://150.138.8.143/00/SNM/CHANNEL00000233/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
莱芜1,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
莱芜2,http://150.138.8.143/00/SNM/CHANNEL00000245/index.m3u8
威海2公共,http://150.138.8.143/00/SNM/CHANNEL00000275/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://150.138.8.143/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://150.138.8.143/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://150.138.8.143/00/SNM/CHANNEL00000295/index.m3u8

各省,#genre#

上海教育,http://live.setv.sh.cn/slive/shedu02_1200k.m3u8?app=114040210343&videotype=1&uid=1
五星体育,http://117.156.28.21/PLTV/88888888/224/3221225603/index.m3u8
江苏体育,http://223.110.247.161:6610/gitv/live1/G_JSTY/G_JSTY
吉林篮球,http://223.110.247.161:6610/gitv/live1/G_KAOSHIZX/G_KAOSHIZX
直播中国,http://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
青岛五四广场,http://video11.qtv.com.cn/aqdafzx/manifest.m3u8
青岛奥帆中心,http://video11.qtv.com.cn/aqdwsgc/manifest.m3u8
青岛电视塔看胶州湾,http://video11.qtv.com.cn/sxt200/manifest.m3u8
青岛电视塔看看台东,http://video11.qtv.com.cn/sxt201/manifest.m3u8
青岛电视塔看浮山湾,http://video11.qtv.com.cn/sxt202/manifest.m3u8
青岛电视塔看太平湾,http://video11.qtv.com.cn/sxt203/manifest.m3u8
青岛市南快速路,http://video11.qtv.com.cn/sxt1/manifest.m3u8
青岛胶宁高架宁夏路,http://video11.qtv.com.cn/sxt2/manifest.m3u8
青岛胶宁高架福州路南,http://video11.qtv.com.cn/sxt3/manifest.m3u8
青岛高新双埠北立交,http://video11.qtv.com.cn/aqdhdsxt/manifest.m3u8
青岛高新区大桥,http://video11.qtv.com.cn/sxt8/manifest.m3u8
青岛高新区河东路祥源路,http://video11.qtv.com.cn/sxt6/manifest.m3u8
黄岛长颈鹿温馨宿舍,http://video11.qtv.com.cn/sxthd1/manifest.m3u8
黄岛长颈鹿运动场西,http://video11.qtv.com.cn/sxthd2/manifest.m3u8
黄岛长颈鹿运动场东,http://video11.qtv.com.cn/sxthd3/manifest.m3u8
黄岛河马,http://video11.qtv.com.cn/sxthd4/manifest.m3u8
黄岛大象馆,http://video11.qtv.com.cn/sxthd5/manifest.m3u8
韩国独岛实况,http://kbs-dokdo.gscdn.com/dokdo_300/_definst_/dokdo_300.stream/playlist.m3u8??
青岛太平角浴场,http://video11.qtv.com.cn/sxtey1/manifest.m3u8
青岛太平角浴场东,http://video11.qtv.com.cn/sxtey2/manifest.m3u8
上海|陆家嘴,http://bililive.kksmg.com/hls/sdi7000/playlist.m3u8#http://bililive.kksmg.com/hls/sdi7000/playlist.m3u8?wsSession=14d4afa57497cbd7234253cd-154201925578539&wsIPSercert=acb4b8c47a67df44337edea131d91dac&wsMonitor=-1
上海|魔都眼,http://bililive.kksmg.com/hls/sdi80/playlist.m3u8#http://bililive.kksmg.com/hls/sdi80/playlist.m3u8?wsSession=14d4afa57497cbd7234253cd-154201931602055&wsIPSercert=acb4b8c47a67df44337edea131d91dac&wsMonitor=-1
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/540p.m3u8
浙江国际10,http://hw-m-l.cztv.com/channels/lantian/channel10/540p.m3u8
浙江钱江2,http://hw-m-l.cztv.com/channels/lantian/channel02/540p.m3u8
浙江经济3,http://hw-m-l.cztv.com/channels/lantian/channel03/540p.m3u8
浙江4,http://hw-m-l.cztv.com/channels/lantian/channel04/540p.m3u8
浙江影视5,http://hw-m-l.cztv.com/channels/lantian/channel05/540p.m3u8
浙江6,http://hw-m-l.cztv.com/channels/lantian/channel06/540p.m3u8
浙江新闻7,http://hw-m-l.cztv.com/channels/lantian/channel07/540p.m3u8
浙江少儿8,http://hw-m-l.cztv.com/channels/lantian/channel08/540p.m3u8
浙江留学9,http://hw-m-l.cztv.com/channels/lantian/channel09/540p.m3u8
浙江数码时代12,http://hw-m-l.cztv.com/channels/lantian/channel12/540p.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel13/540p.m3u8
江苏影视,http://223.110.247.161:6610/gitv/live1/G_JSYS/G_JSYS
江苏教育,http://223.110.247.161:6610/gitv/live1/G_JSJY/G_JSJY
江苏城市,http://223.110.247.161:6610/gitv/live1/G_JSCS/G_JSCS
江苏公共,http://223.110.247.161:6610/gitv/live1/G_JSGG/G_JSGG
江苏综艺,http://223.110.247.161:6610/gitv/live1/G_JSZY/G_JSZY
京视剧场,http://223.110.247.161:6610/gitv/live1/G_JINGJU/G_JINGJU
南京新闻综合,http://223.110.247.161:6610/gitv/live1/G_NJXW/G_NJXW
南京科教,http://223.110.247.161:6610/gitv/live1/G_NJJK/G_NJJK
南京十八,http://223.110.247.161:6610/gitv/live1/G_NJSB/G_NJSB

杭州-1 综合,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8
杭州-2 明珠,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8
杭州-3,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8
杭州-4 影视[1920*1080],http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8
杭州-5 体育,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8

舟山群岛旅游,http://live.wifizs.cn/qdly/sd/live.m3u8
福州影视频道,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
芜湖1综合,http://live1.wuhubtv.com/channel1/sd/live.m3u8
芜湖2生活,http://live1.wuhubtv.com/channel2/sd/live.m3u8
芜湖3公共,http://live1.wuhubtv.com/channel3/sd/live.m3u8
芜湖4教育,http://live1.wuhubtv.com/channel4/sd/live.m3u8
宿州公共,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州科教,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
宿州综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
人文地理记录,http://117.158.206.60:9080/live/renwendili.m3u8
武术世界,http://117.158.206.60:9080/live/wssj.m3u8
文物宝库,http://117.158.206.60:9080/live/wwbk.m3u8
环球奇观,http://live3.nty.tv189.com/live/tm-yg1hqqg-512k.m3u8


风景直播,#genre#

港台,#genre#
凤凰资讯 高清,http://tkbunj246.nian.gfzyw.cn/dl/ifeng.php?id=zxhd
凤凰中文 高清,http://tkbunj246.nian.gfzyw.cn/dl/ifeng.php?id=zwhd
凤凰资讯,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzx
凤凰中文,rtmp://ivi.bupt.edu.cn:1935/livetv/fhzw
凤凰中文,vjms://58.215.133.154:8500:3502/live/cid=400
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv
凤凰电影,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
[V]音乐,rtmp://ivi.bupt.edu.cn:1935/livetv/channelv
探索频道,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
国家地理,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
国家地理,rtmp://58.200.131.2:1935/livetv/natlgeo
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
星空体育,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
澳门卫视,http://stream.mastvnet.com/MSTV/SD/live.m3u8
